District Name,School Code,School Name,State Board Region,Grade Span,Number of Days Missed Due to Hurricane Helene,Subgroup,Total EL Progress (Exited plus Annual Progress),Percent Exiting EL Status,Percent Meeting Annual Progress Toward Exiting
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,All English Learners,21.9,10.5,11.4
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Economically Disadvantaged,15,8.3,6.7
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Female,26.7,11.7,15
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Hispanic,20.6,10.8,9.8
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Male,16.7,9.3,7.4
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Not Academically or Intellectually Gifted,21.9,10.5,11.4
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Not Economically Disadvantaged,29.6,13,16.7
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Not Student with Disabilities,27.5,13.2,14.3
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Students With Disabilities,<5,<5,<5
Charlotte-Mecklenburg Schools,600306,North Academy of World Languages,Southwest,0K-08,0,All English Learners,53,25.8,27.3
Charlotte-Mecklenburg Schools,600306,North Academy of World Languages,Southwest,0K-08,0,Black,70,40,30
Charlotte-Mecklenburg Schools,600306,North Academy of World Languages,Southwest,0K-08,0,Economically Disadvantaged,55.1,26.5,28.6
Charlotte-Mecklenburg Schools,600306,North Academy of World Languages,Southwest,0K-08,0,Female,54.5,27.3,27.3
Charlotte-Mecklenburg Schools,600306,North Academy of World Languages,Southwest,0K-08,0,Hispanic,48,22,26
Charlotte-Mecklenburg Schools,600306,North Academy of World Languages,Southwest,0K-08,0,Male,51.5,24.2,27.3
Charlotte-Mecklenburg Schools,600306,North Academy of World Languages,Southwest,0K-08,0,Not Academically or Intellectually Gifted,53.1,25,28.1
Charlotte-Mecklenburg Schools,600306,North Academy of World Languages,Southwest,0K-08,0,Not Economically Disadvantaged,47.1,23.5,23.5
Charlotte-Mecklenburg Schools,600306,North Academy of World Languages,Southwest,0K-08,0,Not Student with Disabilities,56.9,27.6,29.3
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,All English Learners,31,20.7,10.3
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Asian,73.3,60,13.3
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Economically Disadvantaged,20.6,11.1,9.5
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Female,33.3,24.4,8.9
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Hispanic,17.6,11.8,5.9
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Male,29.6,18.3,11.3
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not Academically or Intellectually Gifted,31,20.7,10.3
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not Economically Disadvantaged,43.4,32.1,11.3
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not Student with Disabilities,38,25,13
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Students With Disabilities,<5,<5,<5
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,White,71.4,35.7,35.7
Charlotte-Mecklenburg Schools,600313,Bailey Middle,Southwest,06-08,0,All English Learners,40.4,29.3,11.1
Charlotte-Mecklenburg Schools,600313,Bailey Middle,Southwest,06-08,0,Asian,75,50,25
Charlotte-Mecklenburg Schools,600313,Bailey Middle,Southwest,06-08,0,Economically Disadvantaged,25,17.3,7.7
Charlotte-Mecklenburg Schools,600313,Bailey Middle,Southwest,06-08,0,Female,40,31.1,8.9
Charlotte-Mecklenburg Schools,600313,Bailey Middle,Southwest,06-08,0,Hispanic,28.6,20.6,7.9
Charlotte-Mecklenburg Schools,600313,Bailey Middle,Southwest,06-08,0,Male,40.7,27.8,13
Charlotte-Mecklenburg Schools,600313,Bailey Middle,Southwest,06-08,0,Not Academically or Intellectually Gifted,39.2,27.8,11.3
Charlotte-Mecklenburg Schools,600313,Bailey Middle,Southwest,06-08,0,Not Economically Disadvantaged,57.4,42.6,14.9
Charlotte-Mecklenburg Schools,600313,Bailey Middle,Southwest,06-08,0,Not Student with Disabilities,47.6,34.5,13.1
Charlotte-Mecklenburg Schools,600313,Bailey Middle,Southwest,06-08,0,Students With Disabilities,<5,<5,<5
Charlotte-Mecklenburg Schools,600313,Bailey Middle,Southwest,06-08,0,White,52.6,42.1,10.5
Charlotte-Mecklenburg Schools,600328,Barnette Elementary,Southwest,PK-05,0,All English Learners,63.8,23.4,40.4
Charlotte-Mecklenburg Schools,600328,Barnette Elementary,Southwest,PK-05,0,Economically Disadvantaged,73.1,23.1,50
Charlotte-Mecklenburg Schools,600328,Barnette Elementary,Southwest,PK-05,0,Female,66.7,28.6,38.1
Charlotte-Mecklenburg Schools,600328,Barnette Elementary,Southwest,PK-05,0,Hispanic,61.5,25.6,35.9
Charlotte-Mecklenburg Schools,600328,Barnette Elementary,Southwest,PK-05,0,Male,61.5,19.2,42.3
Charlotte-Mecklenburg Schools,600328,Barnette Elementary,Southwest,PK-05,0,Not Academically or Intellectually Gifted,63.8,23.4,40.4
Charlotte-Mecklenburg Schools,600328,Barnette Elementary,Southwest,PK-05,0,Not Economically Disadvantaged,52.4,23.8,28.6
Charlotte-Mecklenburg Schools,600328,Barnette Elementary,Southwest,PK-05,0,Not Student with Disabilities,66.7,28.2,38.5
Charlotte-Mecklenburg Schools,600346,Cornelius Elementary,Southwest,0K-05,0,All English Learners,70.3,26.6,43.8
Charlotte-Mecklenburg Schools,600346,Cornelius Elementary,Southwest,0K-05,0,Economically Disadvantaged,72.7,21.2,51.5
Charlotte-Mecklenburg Schools,600346,Cornelius Elementary,Southwest,0K-05,0,Female,64.5,32.3,32.3
Charlotte-Mecklenburg Schools,600346,Cornelius Elementary,Southwest,0K-05,0,Hispanic,59.6,14.9,44.7
Charlotte-Mecklenburg Schools,600346,Cornelius Elementary,Southwest,0K-05,0,Male,75.8,21.2,54.5
Charlotte-Mecklenburg Schools,600346,Cornelius Elementary,Southwest,0K-05,0,Not Academically or Intellectually Gifted,68.9,24.6,44.3
Charlotte-Mecklenburg Schools,600346,Cornelius Elementary,Southwest,0K-05,0,Not Economically Disadvantaged,67.7,32.3,35.5
Charlotte-Mecklenburg Schools,600346,Cornelius Elementary,Southwest,0K-05,0,Not Student with Disabilities,79.6,31.5,48.1
Charlotte-Mecklenburg Schools,600346,Cornelius Elementary,Southwest,0K-05,0,Students With Disabilities,20,<5,20
Charlotte-Mecklenburg Schools,600346,Cornelius Elementary,Southwest,0K-05,0,White,>95,50,50
Charlotte-Mecklenburg Schools,600357,Davidson K-8 School,Southwest,0K-08,0,All English Learners,62,38,24
Charlotte-Mecklenburg Schools,600357,Davidson K-8 School,Southwest,0K-08,0,Economically Disadvantaged,55.2,24.1,31
Charlotte-Mecklenburg Schools,600357,Davidson K-8 School,Southwest,0K-08,0,Female,64,52,12
Charlotte-Mecklenburg Schools,600357,Davidson K-8 School,Southwest,0K-08,0,Hispanic,57.1,34.3,22.9
Charlotte-Mecklenburg Schools,600357,Davidson K-8 School,Southwest,0K-08,0,Male,60,24,36
Charlotte-Mecklenburg Schools,600357,Davidson K-8 School,Southwest,0K-08,0,Not Academically or Intellectually Gifted,59.6,36.2,23.4
Charlotte-Mecklenburg Schools,600357,Davidson K-8 School,Southwest,0K-08,0,Not Economically Disadvantaged,71.4,57.1,14.3
Charlotte-Mecklenburg Schools,600357,Davidson K-8 School,Southwest,0K-08,0,Not Student with Disabilities,71.4,42.9,28.6
Charlotte-Mecklenburg Schools,600394,Francis Bradley Middle,Southwest,06-08,0,All English Learners,22.1,12.5,9.6
Charlotte-Mecklenburg Schools,600394,Francis Bradley Middle,Southwest,06-08,0,Economically Disadvantaged,18.3,9.9,8.5
Charlotte-Mecklenburg Schools,600394,Francis Bradley Middle,Southwest,06-08,0,Female,21.6,15.7,5.9
Charlotte-Mecklenburg Schools,600394,Francis Bradley Middle,Southwest,06-08,0,Hispanic,18.2,11.4,6.8
Charlotte-Mecklenburg Schools,600394,Francis Bradley Middle,Southwest,06-08,0,Male,22.6,9.4,13.2
Charlotte-Mecklenburg Schools,600394,Francis Bradley Middle,Southwest,06-08,0,Not Academically or Intellectually Gifted,22.1,12.5,9.6
Charlotte-Mecklenburg Schools,600394,Francis Bradley Middle,Southwest,06-08,0,Not Economically Disadvantaged,30.3,18.2,12.1
Charlotte-Mecklenburg Schools,600394,Francis Bradley Middle,Southwest,06-08,0,Not Student with Disabilities,25,14.3,10.7
Charlotte-Mecklenburg Schools,600394,Francis Bradley Middle,Southwest,06-08,0,Students With Disabilities,10,5,5
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,All English Learners,16.9,6.5,10.4
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Asian,25,16.7,8.3
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Black,42.9,14.3,28.6
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Economically Disadvantaged,12.3,7,5.3
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Female,21.9,8.2,13.7
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Hispanic,12.3,<5,9
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Male,12.3,<5,7.4
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Not Academically or Intellectually Gifted,16.9,6.5,10.4
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Not Economically Disadvantaged,19.6,6.2,13.4
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Not Student with Disabilities,19.8,7.6,12.2
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Students With Disabilities,<5,<5,<5
Charlotte-Mecklenburg Schools,600420,Huntersville Elementary,Southwest,0K-05,0,All English Learners,72.2,24.1,48.1
Charlotte-Mecklenburg Schools,600420,Huntersville Elementary,Southwest,0K-05,0,Asian,>95,54.5,45.5
Charlotte-Mecklenburg Schools,600420,Huntersville Elementary,Southwest,0K-05,0,Economically Disadvantaged,63.6,12.7,50.9
Charlotte-Mecklenburg Schools,600420,Huntersville Elementary,Southwest,0K-05,0,Female,65.9,26.8,39
Charlotte-Mecklenburg Schools,600420,Huntersville Elementary,Southwest,0K-05,0,Hispanic,67.2,16.4,50.8
Charlotte-Mecklenburg Schools,600420,Huntersville Elementary,Southwest,0K-05,0,Male,78.9,21.1,57.9
Charlotte-Mecklenburg Schools,600420,Huntersville Elementary,Southwest,0K-05,0,Not Academically or Intellectually Gifted,72.2,24.1,48.1
Charlotte-Mecklenburg Schools,600420,Huntersville Elementary,Southwest,0K-05,0,Not Economically Disadvantaged,91.7,50,41.7
Charlotte-Mecklenburg Schools,600420,Huntersville Elementary,Southwest,0K-05,0,Not Student with Disabilities,76.3,30.5,45.8
Charlotte-Mecklenburg Schools,600420,Huntersville Elementary,Southwest,0K-05,0,Students With Disabilities,60,5,55
Charlotte-Mecklenburg Schools,600433,J.V. Washam Elementary,Southwest,0K-05,0,All English Learners,79.2,34,45.3
Charlotte-Mecklenburg Schools,600433,J.V. Washam Elementary,Southwest,0K-05,0,Asian,90,70,20
Charlotte-Mecklenburg Schools,600433,J.V. Washam Elementary,Southwest,0K-05,0,Economically Disadvantaged,70.8,25,45.8
Charlotte-Mecklenburg Schools,600433,J.V. Washam Elementary,Southwest,0K-05,0,Female,80.8,30.8,50
Charlotte-Mecklenburg Schools,600433,J.V. Washam Elementary,Southwest,0K-05,0,Hispanic,75,14.3,60.7
Charlotte-Mecklenburg Schools,600433,J.V. Washam Elementary,Southwest,0K-05,0,Male,77.8,37,40.7
Charlotte-Mecklenburg Schools,600433,J.V. Washam Elementary,Southwest,0K-05,0,Not Academically or Intellectually Gifted,79.2,34,45.3
Charlotte-Mecklenburg Schools,600433,J.V. Washam Elementary,Southwest,0K-05,0,Not Economically Disadvantaged,86.2,41.4,44.8
Charlotte-Mecklenburg Schools,600433,J.V. Washam Elementary,Southwest,0K-05,0,Not Student with Disabilities,83.7,34.7,49
Charlotte-Mecklenburg Schools,600433,J.V. Washam Elementary,Southwest,0K-05,0,White,76.9,46.2,30.8
Charlotte-Mecklenburg Schools,600442,Blythe Elementary,Southwest,PK-05,0,All English Learners,70.3,36.4,33.9
Charlotte-Mecklenburg Schools,600442,Blythe Elementary,Southwest,PK-05,0,Economically Disadvantaged,66,34,32
Charlotte-Mecklenburg Schools,600442,Blythe Elementary,Southwest,PK-05,0,Female,68,32,36
Charlotte-Mecklenburg Schools,600442,Blythe Elementary,Southwest,PK-05,0,Hispanic,71.2,35.6,35.6
Charlotte-Mecklenburg Schools,600442,Blythe Elementary,Southwest,PK-05,0,Male,72.1,39.7,32.4
Charlotte-Mecklenburg Schools,600442,Blythe Elementary,Southwest,PK-05,0,Not Academically or Intellectually Gifted,70.3,36.4,33.9
Charlotte-Mecklenburg Schools,600442,Blythe Elementary,Southwest,PK-05,0,Not Economically Disadvantaged,73.5,38.2,35.3
Charlotte-Mecklenburg Schools,600442,Blythe Elementary,Southwest,PK-05,0,Not Student with Disabilities,79.6,40.9,38.7
Charlotte-Mecklenburg Schools,600442,Blythe Elementary,Southwest,PK-05,0,Students With Disabilities,36,20,16
Charlotte-Mecklenburg Schools,600444,Long Creek Elementary,Southwest,0K-05,0,All English Learners,48.2,12.5,35.7
Charlotte-Mecklenburg Schools,600444,Long Creek Elementary,Southwest,0K-05,0,Economically Disadvantaged,40,8,32
Charlotte-Mecklenburg Schools,600444,Long Creek Elementary,Southwest,0K-05,0,Female,52.2,13,39.1
Charlotte-Mecklenburg Schools,600444,Long Creek Elementary,Southwest,0K-05,0,Hispanic,45.2,9.5,35.7
Charlotte-Mecklenburg Schools,600444,Long Creek Elementary,Southwest,0K-05,0,Male,45.5,12.1,33.3
Charlotte-Mecklenburg Schools,600444,Long Creek Elementary,Southwest,0K-05,0,Not Academically or Intellectually Gifted,48.2,12.5,35.7
Charlotte-Mecklenburg Schools,600444,Long Creek Elementary,Southwest,0K-05,0,Not Economically Disadvantaged,54.8,16.1,38.7
Charlotte-Mecklenburg Schools,600444,Long Creek Elementary,Southwest,0K-05,0,Not Student with Disabilities,52.9,13.7,39.2
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High School,Southwest,09-12,0,All English Learners,13.5,8.1,5.4
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High School,Southwest,09-12,0,Black,33.3,22.2,11.1
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High School,Southwest,09-12,0,Economically Disadvantaged,10.1,8.3,<5
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High School,Southwest,09-12,0,Female,13.8,6.4,7.4
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High School,Southwest,09-12,0,Hispanic,10,5.3,<5
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High School,Southwest,09-12,0,Male,13.3,9.4,<5
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High School,Southwest,09-12,0,Not Academically or Intellectually Gifted,13.5,8.1,5.4
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High School,Southwest,09-12,0,Not Economically Disadvantaged,16.8,8,8.8
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High School,Southwest,09-12,0,Not Student with Disabilities,15.2,8.9,6.3
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High School,Southwest,09-12,0,Students With Disabilities,<5,<5,<5
Charlotte-Mecklenburg Schools,600557,Torrence Creek Elementary,Southwest,0K-05,0,All English Learners,72,22.7,49.3
Charlotte-Mecklenburg Schools,600557,Torrence Creek Elementary,Southwest,0K-05,0,Economically Disadvantaged,67.8,13.6,54.2
Charlotte-Mecklenburg Schools,600557,Torrence Creek Elementary,Southwest,0K-05,0,Female,66.7,18.2,48.5
Charlotte-Mecklenburg Schools,600557,Torrence Creek Elementary,Southwest,0K-05,0,Hispanic,68.8,15.6,53.1
Charlotte-Mecklenburg Schools,600557,Torrence Creek Elementary,Southwest,0K-05,0,Male,76.2,26.2,50
Charlotte-Mecklenburg Schools,600557,Torrence Creek Elementary,Southwest,0K-05,0,Not Academically or Intellectually Gifted,72,22.7,49.3
Charlotte-Mecklenburg Schools,600557,Torrence Creek Elementary,Southwest,0K-05,0,Not Economically Disadvantaged,87.5,56.3,31.3
Charlotte-Mecklenburg Schools,600557,Torrence Creek Elementary,Southwest,0K-05,0,Not Student with Disabilities,76.2,23.8,52.4
Charlotte-Mecklenburg Schools,600557,Torrence Creek Elementary,Southwest,0K-05,0,Students With Disabilities,50,16.7,33.3
Charlotte-Mecklenburg Schools,600558,Grand Oak Elementary,Southwest,PK-05,0,All English Learners,70.8,37.5,33.3
Charlotte-Mecklenburg Schools,600558,Grand Oak Elementary,Southwest,PK-05,0,Economically Disadvantaged,63.6,36.4,27.3
Charlotte-Mecklenburg Schools,600558,Grand Oak Elementary,Southwest,PK-05,0,Female,>95,72.7,27.3
Charlotte-Mecklenburg Schools,600558,Grand Oak Elementary,Southwest,PK-05,0,Hispanic,69.2,30.8,38.5
Charlotte-Mecklenburg Schools,600558,Grand Oak Elementary,Southwest,PK-05,0,Male,46.2,7.7,38.5
Charlotte-Mecklenburg Schools,600558,Grand Oak Elementary,Southwest,PK-05,0,Not Academically or Intellectually Gifted,68.2,40.9,27.3
Charlotte-Mecklenburg Schools,600558,Grand Oak Elementary,Southwest,PK-05,0,Not Economically Disadvantaged,76.9,38.5,38.5
Charlotte-Mecklenburg Schools,600558,Grand Oak Elementary,Southwest,PK-05,0,Not Student with Disabilities,>95,64.3,35.7
Charlotte-Mecklenburg Schools,600558,Grand Oak Elementary,Southwest,PK-05,0,Students With Disabilities,30,<5,30
Charter Schools,60D000,Lake Norman Charter,Southwest,0K-12,0,All English Learners,58.3,41.7,16.7
Charter Schools,60D000,Lake Norman Charter,Southwest,0K-12,0,Asian,68.4,57.9,10.5
Charter Schools,60D000,Lake Norman Charter,Southwest,0K-12,0,Economically Disadvantaged,30,20,10
Charter Schools,60D000,Lake Norman Charter,Southwest,0K-12,0,Female,50,35.7,14.3
Charter Schools,60D000,Lake Norman Charter,Southwest,0K-12,0,Hispanic,40,10,30
Charter Schools,60D000,Lake Norman Charter,Southwest,0K-12,0,Male,63.6,45.5,18.2
Charter Schools,60D000,Lake Norman Charter,Southwest,0K-12,0,Not Academically or Intellectually Gifted,58.3,41.7,16.7
Charter Schools,60D000,Lake Norman Charter,Southwest,0K-12,0,Not Economically Disadvantaged,69.2,50,19.2
Charter Schools,60D000,Lake Norman Charter,Southwest,0K-12,0,Not Student with Disabilities,64.3,46.4,17.9
Charter Schools,60I000,Community School of Davidson,Southwest,0K-12,0,All English Learners,46.2,23.1,23.1
Charter Schools,60I000,Community School of Davidson,Southwest,0K-12,0,Economically Disadvantaged,40,20,20
Charter Schools,60I000,Community School of Davidson,Southwest,0K-12,0,Hispanic,40,20,20
Charter Schools,60I000,Community School of Davidson,Southwest,0K-12,0,Not Academically or Intellectually Gifted,46.2,23.1,23.1
Charter Schools,61J000,Lakeside Charter Academy,Southwest,0K-08,0,All English Learners,50,13.6,36.4
Charter Schools,61J000,Lakeside Charter Academy,Southwest,0K-08,0,Female,50,10,40
Charter Schools,61J000,Lakeside Charter Academy,Southwest,0K-08,0,Hispanic,53.3,13.3,40
Charter Schools,61J000,Lakeside Charter Academy,Southwest,0K-08,0,Male,50,16.7,33.3
Charter Schools,61J000,Lakeside Charter Academy,Southwest,0K-08,0,Not Academically or Intellectually Gifted,50,13.6,36.4
Charter Schools,61J000,Lakeside Charter Academy,Southwest,0K-08,0,Not Economically Disadvantaged,50,15,35
Charter Schools,61J000,Lakeside Charter Academy,Southwest,0K-08,0,Not Student with Disabilities,55,15,40
Charter Schools,61V000,Bonnie Cone Classical Academy,Southwest,0K-06,0,All English Learners,62.9,31.4,31.4
Charter Schools,61V000,Bonnie Cone Classical Academy,Southwest,0K-06,0,Economically Disadvantaged,66.7,27.8,38.9
Charter Schools,61V000,Bonnie Cone Classical Academy,Southwest,0K-06,0,Female,52.6,31.6,21.1
Charter Schools,61V000,Bonnie Cone Classical Academy,Southwest,0K-06,0,Hispanic,55.6,22.2,33.3
Charter Schools,61V000,Bonnie Cone Classical Academy,Southwest,0K-06,0,Male,75,31.3,43.8
Charter Schools,61V000,Bonnie Cone Classical Academy,Southwest,0K-06,0,Not Academically or Intellectually Gifted,62.9,31.4,31.4
Charter Schools,61V000,Bonnie Cone Classical Academy,Southwest,0K-06,0,Not Economically Disadvantaged,58.8,35.3,23.5
Charter Schools,61V000,Bonnie Cone Classical Academy,Southwest,0K-06,0,Not Student with Disabilities,60.6,30.3,30.3
Charter Schools,62M000,Bonnie Cone Leadership Academy,Sandhills,0K-12,0,All English Learners,83.6,71.2,12.3
Charter Schools,62M000,Bonnie Cone Leadership Academy,Sandhills,0K-12,0,Asian,88,72,16
Charter Schools,62M000,Bonnie Cone Leadership Academy,Sandhills,0K-12,0,Economically Disadvantaged,89.7,75.9,13.8
Charter Schools,62M000,Bonnie Cone Leadership Academy,Sandhills,0K-12,0,Female,85.2,66.7,18.5
Charter Schools,62M000,Bonnie Cone Leadership Academy,Sandhills,0K-12,0,Hispanic,81.1,67.6,13.5
Charter Schools,62M000,Bonnie Cone Leadership Academy,Sandhills,0K-12,0,Male,82.6,73.9,8.7
Charter Schools,62M000,Bonnie Cone Leadership Academy,Sandhills,0K-12,0,Not Academically or Intellectually Gifted,83.6,71.2,12.3
Charter Schools,62M000,Bonnie Cone Leadership Academy,Sandhills,0K-12,0,Not Economically Disadvantaged,79.5,68.2,11.4
Charter Schools,62M000,Bonnie Cone Leadership Academy,Sandhills,0K-12,0,Not Student with Disabilities,86.2,73.8,12.3
Charter Schools,62N000,Aspire Trade High,Sandhills,09-11,0,All English Learners,9.1,6.1,<5
Charter Schools,62N000,Aspire Trade High,Sandhills,09-11,0,Economically Disadvantaged,<5,<5,<5
Charter Schools,62N000,Aspire Trade High,Sandhills,09-11,0,Hispanic,9.1,6.1,<5
Charter Schools,62N000,Aspire Trade High,Sandhills,09-11,0,Male,8.3,<5,<5
Charter Schools,62N000,Aspire Trade High,Sandhills,09-11,0,Not Academically or Intellectually Gifted,9.1,6.1,<5
Charter Schools,62N000,Aspire Trade High,Sandhills,09-11,0,Not Economically Disadvantaged,15,10,5
Charter Schools,62N000,Aspire Trade High,Sandhills,09-11,0,Not Student with Disabilities,10.3,6.9,<5
